open,high,low,close,volume,date
2684.5000,2725.0000,2670.0500,2710.3501,2411115,2024-01-25
2713.2000,2905.0000,2713.2000,2896.1499,823950,2024-01-29
2905.3999,2917.9500,2808.7500,2814.8501,303348,2024-01-30
2811.4500,2869.4500,2804.9500,2853.2000,108704,2024-01-31
2871.2000,2885.2500,2836.7000,2852.7000,88274,2024-02-01
2864.4500,2949.8999,2864.4500,2914.7500,653622,2024-02-02
2921.2000,2940.0000,2864.0000,2877.0500,128072,2024-02-05
2887.4000,2887.4000,2840.8000,2856.8000,115081,2024-02-06
2870.0000,2898.0000,2858.4500,2883.4000,320512,2024-02-07
2895.6000,2919.7500,2856.7000,2902.9500,98849,2024-02-08
2905.0000,2944.1500,2902.6000,2922.3000,812171,2024-02-09
2922.3000,2922.3500,2885.0000,2902.9500,147206,2024-02-12
2910.4000,2957.8000,2909.4000,2928.9500,322902,2024-02-13
2911.4000,2966.6000,2911.4000,2962.6000,122707,2024-02-14
2963.4000,2968.4000,2932.9000,2941.9000,81881,2024-02-15
2945.0500,2953.3000,2917.3500,2921.3500,542931,2024-02-16
2921.3500,2958.8000,2907.5500,2946.1500,163441,2024-02-19
2949.9000,2949.9000,2924.0000,2940.7500,104430,2024-02-20
2943.8500,2977.0000,2916.1500,2938.2000,103405,2024-02-21
2937.9500,2969.1000,2916.0000,2963.3500,212597,2024-02-22
2971.4000,2996.1500,2965.2500,2986.3500,653001,2024-02-23
2989.7500,2989.7500,2964.5500,2974.3500,40874,2024-02-26
2968.8000,2999.8500,2956.0000,2970.4000,83211,2024-02-27
2964.9000,2982.0000,2900.5500,2909.0000,64333,2024-02-28
2931.0500,2958.0000,2909.5500,2924.7500,192376,2024-02-29
2916.7000,2999.0000,2916.7000,2986.0000,544407,2024-03-01
2993.9000,3000.0000,2975.0000,2980.8500,13490,2024-03-02
2981.0000,3024.8000,2975.0500,3011.6000,139795,2024-03-04
3011.7000,3011.7000,2973.0000,2998.3000,70928,2024-03-05
2989.4500,3019.0000,2957.0000,3005.9500,110021,2024-03-06
3002.1500,3005.9000,2951.2500,2958.1000,387052,2024-03-07
2984.7000,2984.7000,2927.3500,2931.2000,111587,2024-03-11
2932.0000,2976.3000,2932.0000,2950.2000,83500,2024-03-12
2955.4500,2965.9500,2855.8500,2864.7000,97957,2024-03-13
2865.0000,2897.3500,2851.0000,2865.2500,162637,2024-03-14
2854.9500,2866.4500,2826.9000,2837.2500,396001,2024-03-15
2837.2000,2883.0000,2833.6500,2878.3500,146410,2024-03-18
2865.6000,2873.6000,2835.0000,2850.7500,128206,2024-03-19
2851.0500,2890.2000,2848.0500,2886.8000,152906,2024-03-20
2891.4000,2915.0000,2889.6500,2901.3000,77091,2024-03-21
2897.0500,2920.0000,2895.3500,2909.9000,562484,2024-03-22
2888.6000,2905.2500,2877.0000,2884.1500,943865,2024-03-26
2899.6500,2999.9000,2897.9000,2987.8500,471025,2024-03-27
2994.3500,3011.2500,2959.0000,2976.8000,422263,2024-03-28
2985.0000,2988.5000,2965.0000,2969.5000,229355,2024-04-01
2969.5000,2987.9000,2950.0000,2971.3000,118525,2024-04-02
2966.9000,2966.9000,2938.0000,2942.4000,127109,2024-04-03
2958.5500,2958.5500,2900.5000,2926.4500,104590,2024-04-04
2928.0000,2941.5000,2911.9000,2919.9500,431312,2024-04-05
2923.4000,2980.5000,2923.4000,2971.0000,148392,2024-04-08
2975.0000,2978.7500,2925.0000,2927.1000,59883,2024-04-09
2949.9500,2974.0000,2934.5500,2958.6000,164355,2024-04-10
2955.0000,2973.0000,2925.7000,2935.1000,677948,2024-04-12
2908.6500,2964.5000,2893.1500,2932.9000,301990,2024-04-15
2909.9500,2942.0000,2902.1000,2934.4500,157052,2024-04-16
2929.0000,2971.5000,2919.0000,2928.1500,205714,2024-04-18
2918.9500,2947.0000,2886.7500,2941.6000,530975,2024-04-19
2950.0000,2964.3000,2936.6000,2960.6000,175983,2024-04-22
2968.5500,2986.0500,2912.5000,2918.5000,273433,2024-04-23
2922.3000,2936.6500,2898.7000,2900.6000,78386,2024-04-24
2888.0000,2935.0000,2885.2000,2918.4000,192974,2024-04-25
2925.1500,2930.0000,2900.0000,2903.0000,450580,2024-04-26
2902.9500,2935.5500,2900.1000,2930.5000,194646,2024-04-29
2930.9000,2965.0000,2927.0000,2931.1500,237096,2024-04-30
2945.3500,2953.9000,2927.6500,2932.1000,124785,2024-05-02
2938.5500,2949.1000,2832.7000,2868.5000,343554,2024-05-03
2875.0000,2881.4500,2836.2500,2839.0000,143404,2024-05-06
2832.0000,2840.7500,2785.0000,2803.9500,169570,2024-05-07
2795.0000,2866.9500,2795.0000,2836.9500,278869,2024-05-08
2859.0000,2859.0000,2780.0000,2786.8000,106347,2024-05-09
2790.1500,2821.3500,2775.2000,2815.1500,382788,2024-05-10
2798.0500,2813.1500,2768.0500,2805.3000,131567,2024-05-13
2805.0000,2854.0500,2800.0000,2839.8000,137617,2024-05-14
2845.0000,2859.4000,2825.5000,2831.1500,51822,2024-05-15
2835.0000,2854.3000,2796.6000,2850.2000,71121,2024-05-16
2842.3500,2874.8500,2826.0000,2870.7000,415360,2024-05-17
2872.1000,2878.8000,2865.0000,2869.0500,9310,2024-05-18
2859.0000,2883.0000,2852.9000,2871.3000,130910,2024-05-21
2872.9000,2936.8000,2872.9000,2920.7500,110840,2024-05-22
2918.3000,2983.5500,2912.0000,2973.2000,197060,2024-05-23
2966.0000,2977.0000,2951.2000,2959.8000,456600,2024-05-24
2960.8000,2967.4500,2924.0000,2932.4500,134570,2024-05-27
2941.9500,2957.0000,2905.4000,2911.2500,116320,2024-05-28
2897.0000,2916.1000,2877.0000,2881.4500,65080,2024-05-29
2884.0000,2884.0000,2841.5000,2850.0000,54130,2024-05-30
2864.6500,2884.2000,2843.2500,2859.6000,797290,2024-05-31
2974.9000,3029.9000,2918.0000,3021.2500,315230,2024-06-03
3007.9500,3007.9500,2719.1500,2793.6000,1040000,2024-06-04
2848.9500,2861.3500,2768.0500,2842.1500,180090,2024-06-05
2869.0000,2886.0000,2843.0000,2863.7500,255380,2024-06-06
2858.0000,2944.5000,2852.9500,2939.4500,952210,2024-06-07
2943.7500,2986.5500,2935.5500,2940.6000,87070,2024-06-10
2949.9500,2949.9500,2910.0000,2913.5000,125970,2024-06-11
2913.5000,2952.0000,2911.0000,2926.0500,172570,2024-06-12
2946.0000,2946.0000,2920.5500,2928.6500,57560,2024-06-13
2936.1000,2958.7000,2913.4000,2954.5500,186350,2024-06-14
2970.2000,2974.0000,2941.2000,2961.4000,108020,2024-06-18
2971.4000,2975.2000,2911.2500,2917.2000,97510,2024-06-19
2925.1000,2964.9000,2900.8000,2947.2500,99020,2024-06-20
2947.2000,2947.2000,2880.5000,2912.2000,897460,2024-06-21
